1,Oakland Blvd,Ygnacio Valley Rd,37.904502, -122.068070
2,California Blvd,Ygnacio Valley Rd,37.904976, -122.065751
3,Main St,Ygnacio Valley Rd,37.906198, -122.064319
4,Broadway ,Ygnacio Valley Rd,37.906755, -122.061456
5,Civic Dr,Ygnacio Valley Rd,37.906690, -122.058837
6,Walnut Blvd,Ygnacio Valley Rd,37.908148, -122.054920
7,Homestead Ave,Ygnacio Valley Rd,37.909014, -122.052259
8,Tampico/Marchbanks Dr,Ygnacio Valley Rd,37.911472, -122.046235
9,La Casa Via/Kinross,Ygnacio Valley Rd,37.913195, -122.043726
10,John Muir Hospital,Ygnacio Valley Rd,37.914344, -122.042124
11,San Carlos Dr,Ygnacio Valley Rd,37.917532, -122.039382
12,Walnut Ave/Bancroft Rd,Ygnacio Valley Rd,37.920821, -122.034314
13,Wimbledon,Ygnacio Valley Rd,37.922981, -122.029203
14,Wiget Ln,Ygnacio Valley Rd,37.924488, -122.023638
15,Via Monte,Ygnacio Valley Rd,37.925910, -122.018402
16,Oak Grove Rd,Ygnacio Valley Rd,37.927475, -122.014668
17,Citrus Ave,Oak Grove Rd,37.929082, -122.016152
18,Oak Grove Rd,Shadelands Dr,37.930006, -122.017028
19,Oak Grove Rd,Mitchell/Peachwillow,37.932409, -122.019235
20,Canal Trail,Oak Grove Rd,37.934332, -122.021020
21,Lawrence Wy,Main St / California Blvd,37.909419, -122.065149
22,California Blvd,Pringle ,37.907639, -122.066301
23,California Blvd,La Cassie,37.903619, -122.065172
24,California Blvd,Trinity / Civic Drive,37.901356, -122.064393
25,Bonanza,California Blvd,37.899287, -122.063512
26,California Blvd,Mt. Diablo Blvd,37.897371, -122.063454
27,California Blvd,Olympic Blvd,37.896002, -122.062823
28,California Blvd,Newell Ave,37.892627, -122.061141
29,Newell Ave,S. Main St,37.893061, -122.058341
30,Lilac Dr,S. Main St,37.890323, -122.057553
31,Creekside Dr,S. Main St,37.887323, -122.055892
32,Main St,Pringle ,37.907683, -122.064770
33,La Cassie,Main St,37.903662, -122.062998
34,Civic Dr,Main St,37.901759, -122.061954
35,Broadway ,Civic Dr,37.902551, -122.060993
36,Locust St,Civic Dr,37.901322, -122.063021
37,Bonanza,Locust St,37.899665, -122.062348
38,Bonanza,Main St,37.899974, -122.061078
39,Cypress ,Main St,37.899292, -122.060805
40,Broadway ,Cypress ,37.899548, -122.059821
41,Bonanza,Mt. Diablo Blvd,37.897377, -122.065989
42,Locust St,Mt. Diablo Blvd,37.897337, -122.061440
43,Main St,Mt. Diablo Blvd,37.897370, -122.059995
44,Broadway ,Mt. Diablo Blvd,37.897899, -122.058215
45,Olympic Blvd,Main St,37.896311, -122.059962
46,Broadway Plaza,S. Main St,37.894174, -122.058656
47,Broadway,Newell Ave,37.893712, -122.055063
48,Alpine,Olympic Blvd,37.895007, -122.065735
49,N. Main St,Sunnyvale Ave,37.928687, -122.061549
50,Geary Rd/Treat Blvd,N. Main St,37.926378, -122.062558
51,N. Main St,Second Ave,37.921830, -122.064180
